"BLOG","BLOG"
"Posts","Posts"
"Comments","Comments"
"Tags","Tags"
"Configurations","Configurations"
"Blog Controller","Blog Controller"
"Post Action","Post Action"
"Comments Action","Comments Action"
"Tags Action","Tags Action"
"Evozon Blog","Evozon Blog"
"General Configurations","General Configurations"
"Post Configurations","Post Configurations"
"Comment Configurations","Comment Configurations"
"Cron Configurations","Cron Configurations"
"Search Configurations","Search Configurations"
"Search Engine Optimization","Search Engine Optimization"
"Title Prefix","Title Prefix"
"Keywords","Keywords"
"Description","Description"
"Layout Settings","Layout Settings"
"Default Layout","Default Layout"
"It will be used for tag and archive actions. If not overriden by category settings, it will be set as blog default layout.","It will be used for tag and archive actions. If not overriden by category settings, it will be set as blog default layout."
"Layout for post single view","Layout for post single view"
"Choose the layout of the single post/article.","Choose the layout of the single post/article."
"Datetime Settings","Datetime Settings"
"Datetime Format","Datetime Format"
"Toolbar and Pagination","Toolbar and Pagination"
"Page parameter name","Page parameter name"
"The page parameter that will appear in _query in address bar.","The page parameter that will appear in _query in address bar."
"Filter parameter name","Filter parameter name"
"The filter parameter that will appear in _query in address bar.","The filter parameter that will appear in _query in address bar."
"Post Image Placeholders","Post Image Placeholders"
"Post listing","Post listing"
"Number of posts listed","Number of posts listed"
"Number of posts shown in listing page.","Number of posts shown in listing page."
"Teaser words number","Teaser words number"
"Teaser is short content that will be shown in post listing and single page. If admin does not add the teaser, it will be taken from post content. Specify the number of words to take from content, if short content is empty.","Teaser is short content that will be shown in post listing and single page. If admin does not add the teaser, it will be taken from post content. Specify the number of words to take from content, if short content is empty."
"Available content","Available content"
"Select the content to be displayed during posts listing.","Select the content to be displayed during posts listing."
"Post single page","Post single page"
"Reply level","Reply level"
"Set the maximum level for making a reply by typing a number between 1 and 10. Default is level 10.","Set the maximum level for making a reply by typing a number between 1 and 10. Default is level 10."
"Recent Posts","Recent Posts"
"Status","Status"
"Display template","Display template"
"Choose a template for your widget display the posts: -Minimal: Displays the image thumbnail, title and, optional, the date ; -Extended: Displays a chosen type of image, title and, optional, date, content, number of comments.","Choose a template for your widget display the posts: -Minimal: Displays the image thumbnail, title and, optional, the date ; -Extended: Displays a chosen type of image, title and, optional, date, content, number of comments."
"Number of posts visible","Number of posts visible"
"There is a minimum of 1 to be shown.","There is a minimum of 1 to be shown."
"Show published date","Show published date"
"Image style","Image style"
"Post content limit","Post content limit"
"Number of words from the short content to be displayed in the widget.","Number of words from the short content to be displayed in the widget."
"Show number of comments","Show number of comments"
"Show tags","Show tags"
"Related Posts","Related Posts"
"Enable block","Enable block"
"Yes: block will be visible.","Yes: block will be visible."
"Number of posts visible","Number of posts visible"
"There is a minimum of 1 post to be shown.","There is a minimum of 1 post to be shown."
"Post archive","Post archive"
"Disabled: block will not be displayed.","Disabled: block will not be displayed."
"Archive first segment","Archive first segment"
"This is the first segment before archive unique path. Example: /archive/2015/02 or /arch/2015/02.","This is the first segment before archive unique path. Example: /archive/2015/02 or /arch/2015/02."
"Date format","Date format"
"Show posts count","Show posts count"
"Yes: will display posts count in parenthesis.","Yes: will display posts count in parenthesis."
"History length","History length"
"How many archive years will be displayed. The value inserted has to be greater than zero (>0).","How many archive years will be displayed. The value inserted has to be greater than zero (>0)."
"Post Url Format","Post Url Format"
"Month and name","Month and name"
"Example: /2015/06/unique-name-of-the-post/ or /2015/06/unique-name-of-the-post.html","Example: /2015/06/unique-name-of-the-post/ or /2015/06/unique-name-of-the-post.html"
"Day and name","Day and name"
